site	habitat	treatment	sample id	family	quantity
Abades	edge	SC	A_E_SC_1.2	Tellinidae	1
Abades	middle	SC	A_M_SC_4.2	Apseudidae	7
Abades	middle	SC	A_M_SC_4.2	Enchytraeidae	5
Abades	middle	SC	A_M_SC_4.2	Copepoda	1
Abades	middle	SC	A_M_SC_4.2	Ostracoda	1
Abades	middle	SC	A_M_SC_4.2	Nematoda	1
Abades	middle	SC	A_M_SC_4.2	Naididae	2
Abades	middle	SC	A_M_SC_4.2	Syllidae	1
El Medano	edge	OP	M_E_OP_4.1	Onuphidae	22
El Medano	edge	OP	M_E_OP_4.1	Actiniaria	18
El Medano	edge	OP	M_E_OP_4.1	Ostracoda	9
El Medano	edge	OP	M_E_OP_4.1	Syllidae	4
El Medano	edge	OP	M_E_OP_4.1	Leptocheliidae	1
El Medano	edge	OP	M_E_OP_4.1	Anthuridae	3
El Medano	edge	OP	M_E_OP_4.1	Naididae	3
El Medano	edge	OP	M_E_OP_4.1	Maldanidae	1
El Medano	edge	OP	M_E_OP_4.1	Gammaridea	1
El Medano	edge	OP	M_E_OP_4.1	Trochidae	1
El Medano	edge	OP	M_E_OP_4.1	Rissoidae	4
El Medano	edge	OP	M_E_OP_4.1	Cerithiopsidae	1
El Medano	edge	OP	M_E_OP_4.1	Tellinidae	1
Abades	middle	OP	A_M_OP_1.1	Onuphidae	1
Abades	middle	OP	A_M_OP_1.1	Apseudidae	20
Abades	middle	OP	A_M_OP_1.1	Naididae	9
Abades	middle	OP	A_M_OP_1.1	Ostracoda	1
Abades	middle	OP	A_M_OP_1.1	Actiniaria	5
Abades	middle	OP	A_M_OP_1.1	Gammaridea	2
Abades	middle	OP	A_M_OP_1.1	Enchytraeidae	3
Abades	middle	OP	A_M_OP_1.1	Syllidae	1
Abades	middle	OP	A_M_OP_1.1	Anthuridae	1
Abades	middle	OP	A_M_OP_1.1	Solemyidae	2
Abades	middle	OP	A_M_OP_1.1	Cardiidae	1
Abades	sand	SC	A_S_SC_2	Gammaridea	3
Abades	sand	SC	A_S_SC_2	Naididae	4
Abades	sand	SC	A_S_SC_2	Enchytraeidae	1
Abades	sand	SC	A_S_SC_2	Apseudidae	13
Abades	sand	SC	A_S_SC_2	Anarthruridae	1
Abades	sand	SC	A_S_SC_2	Ostracoda	1
Abades	sand	SC	A_S_SC_2	Cerithiopsidae	3
Abades	sand	SC	A_S_SC_2	Cylichnidae	2
Abades	sand	SC	A_S_SC_2	Rissoidae	2
Abades	sand	SC	A_S_SC_2	Tellinidae	1
Abades	middle	OP	A_M_OP_4.1	Tellinidae	1
Abades	middle	OP	A_M_OP_4.1	Solemyidae	1
Abades	middle	OP	A_M_OP_4.1	Cerithiopsidae	2
Abades	middle	OP	A_M_OP_4.1	Rissoidae	1
Abades	middle	OP	A_M_OP_4.1	Naticidae	1
Abades	middle	OP	A_M_OP_4.1	Cylichnidae	1
Abades	middle	OP	A_M_OP_4.1	Onuphidae	1
Abades	middle	OP	A_M_OP_4.1	Apseudidae	14
Abades	middle	OP	A_M_OP_4.1	Ostracoda	1
Abades	middle	OP	A_M_OP_4.1	Gammaridea	5
Abades	middle	OP	A_M_OP_4.1	Enchytraeidae	6
Abades	middle	OP	A_M_OP_4.1	Syllidae	1
Abades	middle	OP	A_M_OP_4.1	Leptocheliidae	1
Abades	middle	OP	A_M_OP_4.1	Naididae	4
Abades	middle	OP	A_M_OP_4.1	Bonellidae	4
Abades	edge	OP	A_E_OP_2.2	Onuphidae	3
Abades	edge	OP	A_E_OP_2.2	Apseudidae	9
Abades	edge	OP	A_E_OP_2.2	Actiniaria	9
Abades	edge	OP	A_E_OP_2.2	Paguridae	1
Abades	edge	OP	A_E_OP_2.2	Enchytraeidae	2
Abades	edge	OP	A_E_OP_2.2	Naididae	14
Abades	edge	OP	A_E_OP_2.2	Tellinidae	2
Abades	edge	OP	A_E_OP_2.2	Cerithiopsidae	2
Abades	edge	OP	A_E_OP_2.2	Rissoidae	2
Abades	edge	OP	A_E_OP_2.2	Buccinidae	1
Abades	edge	OP	A_E_OP_2.2	Solemyidae	1
Abades	sand	SC	A_S_SC_4.1	Syllidae	1
Abades	sand	SC	A_S_SC_4.1	Apseudidae	13
Abades	sand	SC	A_S_SC_4.1	Actiniaria	1
Abades	sand	SC	A_S_SC_4.1	Onuphidae	1
Abades	sand	SC	A_S_SC_4.1	Gammaridea	2
Abades	sand	SC	A_S_SC_4.1	Naididae	8
Abades	sand	SC	A_S_SC_4.1	Tellinidae	3
Abades	sand	SC	A_S_SC_4.1	Rissoidae	1
Abades	sand	SC	A_S_SC_3.1	Apseudidae	13
Abades	sand	SC	A_S_SC_3.1	Enchytraeidae	2
Abades	sand	SC	A_S_SC_3.1	Gammaridea	1
Abades	sand	SC	A_S_SC_3.1	Syllidae	1
Abades	sand	SC	A_S_SC_3.1	Onuphidae	1
Abades	sand	SC	A_S_SC_3.1	Tellinidae	2
Abades	edge	OP	A_E_OP_3.1	Apseudidae	20
Abades	edge	OP	A_E_OP_3.1	Onuphidae	7
Abades	edge	OP	A_E_OP_3.1	Actiniaria	21
Abades	edge	OP	A_E_OP_3.1	Enchytraeidae	14
Abades	edge	OP	A_E_OP_3.1	Naididae	8
Abades	edge	OP	A_E_OP_3.1	Ostracoda	11
Abades	edge	OP	A_E_OP_3.1	Syllidae	1
Abades	edge	OP	A_E_OP_3.1	Gammaridea	2
Abades	edge	OP	A_E_OP_3.1	Eunicidae	1
Abades	edge	OP	A_E_OP_3.1	Cerithiopsidae	3
Abades	edge	OP	A_E_OP_3.1	Tellinidae	1
Abades	sand	SC	A_S_SC_1.1	Apseudidae	58
Abades	sand	SC	A_S_SC_1.1	Cirolanidae	1
Abades	sand	SC	A_S_SC_1.1	Actiniaria	7
Abades	sand	SC	A_S_SC_1.1	Ostracoda	4
Abades	sand	SC	A_S_SC_1.1	Enchytraeidae	4
Abades	sand	SC	A_S_SC_1.1	Naididae	6
Abades	sand	SC	A_S_SC_1.1	Syllidae	1
Abades	sand	SC	A_S_SC_1.1	Gammaridea	1
Abades	sand	SC	A_S_SC_1.1	Bodotriidae	1
Abades	sand	SC	A_S_SC_1.1	Onuphidae	1
Abades	sand	SC	A_S_SC_1.1	Solemyidae	2
Abades	sand	SC	A_S_SC_1.1	Trochidae	1
Abades	sand	SC	A_S_SC_1.1	Rissoidae	3
Abades	sand	SC	A_S_SC_1.1	Naticidae	1
Abades	sand	SC	A_S_SC_1.1	Eulimidae	2
Abades	sand	SC	A_S_SC_1.1	Tellinidae	1
Abades	middle	C	A_M_C_5.1	Onuphidae	3
Abades	middle	C	A_M_C_5.1	Ostracoda	2
Abades	middle	C	A_M_C_5.1	Naididae	13
Abades	middle	C	A_M_C_5.1	Gammaridea	1
Abades	middle	C	A_M_C_5.1	Apseudidae	4
Abades	middle	C	A_M_C_5.1	Enchytraeidae	8
Abades	middle	C	A_M_C_5.1	Anarthruridae	1
Abades	middle	C	A_M_C_5.1	Actiniaria	3
Abades	middle	C	A_M_C_5.1	Solemyidae	2
Abades	middle	C	A_M_C_5.1	Tellinidae	3
Abades	middle	C	A_M_C_1.2	Onuphidae	1
Abades	middle	C	A_M_C_1.2	Apseudidae	8
Abades	middle	C	A_M_C_1.2	Ostracoda	3
Abades	middle	C	A_M_C_1.2	Gammaridea	1
Abades	middle	C	A_M_C_1.2	Naididae	3
Abades	middle	C	A_M_C_1.2	Actiniaria	4
Abades	middle	C	A_M_C_1.2	Enchytraeidae	2
Abades	middle	C	A_M_C_1.2	Solemyidae	1
Abades	middle	C	A_M_C_1.2	Nassariidae	1
Abades	middle	C	A_M_C_1.2	Tellinidae	2
Abades	edge	C	A_E_C_1.2	Actiniaria	20
Abades	edge	C	A_E_C_1.2	Apseudidae	3
Abades	edge	C	A_E_C_1.2	Onuphidae	3
Abades	edge	C	A_E_C_1.2	Naididae	28
Abades	edge	C	A_E_C_1.2	Enchytraeidae	3
Abades	edge	C	A_E_C_1.2	Hexapoda	1
Abades	edge	C	A_E_C_1.2	Tellinidae	1
Abades	edge	C	A_E_C_1.2	Cardiidae	2
Abades	edge	C	A_E_C_1.2	Cerithiopsidae	1
El Medano	middle	C	M_M_C_4.2	Onuphidae	2
El Medano	middle	C	M_M_C_4.2	Ostracoda	2
El Medano	middle	C	M_M_C_4.2	Apseudidae	4
El Medano	middle	C	M_M_C_4.2	Actiniaria	3
El Medano	middle	C	M_M_C_4.2	Naididae	10
El Medano	middle	C	M_M_C_4.2	Enchytraeidae	2
El Medano	middle	C	M_M_C_4.2	Leptocheliidae	1
El Medano	middle	C	M_M_C_4.2	Maldanidae	1
El Medano	middle	C	M_M_C_4.2	Trochidae	1
Abades	middle	OP	A_M_OP_2.2	Apseudidae	7
Abades	middle	OP	A_M_OP_2.2	Ostracoda	3
Abades	middle	OP	A_M_OP_2.2	Anarthruridae	1
Abades	middle	OP	A_M_OP_2.2	Enchytraeidae	3
Abades	middle	OP	A_M_OP_2.2	Onuphidae	2
Abades	middle	OP	A_M_OP_2.2	Actiniaria	1
Abades	middle	OP	A_M_OP_2.2	Gammaridea	3
Abades	middle	OP	A_M_OP_2.2	Solemyidae	2
Abades	middle	OP	A_M_OP_2.2	Naticidae	2
Abades	middle	OP	A_M_OP_2.2	Cerithiopsidae	2
Abades	middle	OP	A_M_OP_2.2	Rissoidae	1
Abades	middle	OP	A_E_SC_1.1	Actiniaria	17
Abades	middle	OP	A_E_SC_1.1	Apseudidae	8
Abades	middle	OP	A_E_SC_1.1	Naididae	8
Abades	middle	OP	A_E_SC_1.1	Ostracoda	4
Abades	middle	OP	A_E_SC_1.1	Onuphidae	1
Abades	middle	OP	A_E_SC_1.1	Naticidae	2
Abades	middle	OP	A_E_SC_1.1	Tellinidae	2
Abades	middle	OP	A_E_SC_1.1	Cylichnidae	2
Abades	middle	OP	A_E_SC_1.1	Cardiidae	1
Abades	middle	OP	A_E_SC_1.1	Rissoidae	1
Abades	middle	OP	A_E_SC_1.1	Cerithiopsidae	2
Abades	sand	OP	A_S_OP_3.2	Onuphidae	1
Abades	sand	OP	A_S_OP_3.2	Naididae	23
Abades	sand	OP	A_S_OP_3.2	Enchytraeidae	9
Abades	sand	OP	A_S_OP_3.2	Apseudidae	15
Abades	sand	OP	A_S_OP_3.2	Gammaridea	2
Abades	sand	OP	A_S_OP_3.2	Orbiniidae	3
Abades	sand	OP	A_S_OP_3.2	Ostracoda	2
Abades	sand	OP	A_S_OP_3.2	Actiniaria	3
Abades	sand	OP	A_S_OP_3.2	Maldanidae	1
El Medano	middle	C	M_M_C_2.1	Onuphidae	8
El Medano	middle	C	M_M_C_2.1	Cirolanidae	1
El Medano	middle	C	M_M_C_2.1	Ostracoda	4
El Medano	middle	C	M_M_C_2.1	Naididae	13
El Medano	middle	C	M_M_C_2.1	Actiniaria	3
El Medano	middle	C	M_M_C_2.1	Apseudidae	4
El Medano	middle	C	M_M_C_2.1	Enchytraeidae	2
El Medano	middle	C	M_M_C_2.1	Capitellidae	1
El Medano	middle	C	M_M_C_2.1	Gammaridea	3
El Medano	middle	C	M_M_C_2.1	Anthuridae	1
El Medano	middle	C	M_M_C_2.1	Trochidae	4
El Medano	middle	C	M_M_C_2.1	Naticidae	2
El Medano	middle	C	M_M_C_2.1	Nassariidae	1
El Medano	middle	C	M_M_C_2.1	Cardiidae	1
El Medano	middle	C	M_M_C_2.1	Rissoidae	3
El Medano	middle	C	M_M_C_5	Ostracoda	4
El Medano	middle	C	M_M_C_5	Naididae	6
El Medano	middle	C	M_M_C_5	Enchytraeidae	4
El Medano	middle	C	M_M_C_5	Solemyidae	3
El Medano	middle	C	M_M_C_5	Nassariidae	1
El Medano	middle	C	M_M_C_5	Littorinidae	1
El Medano	middle	C	M_M_C_5	Rissoidae	1
Abades	sand	SC	A_S_SC_1	Apseudidae	58
Abades	sand	SC	A_S_SC_1	Actiniaria	6
Abades	sand	SC	A_S_SC_1	Ostracoda	3
Abades	sand	SC	A_S_SC_1	Gammaridea	1
Abades	sand	SC	A_S_SC_1	Bopyridae	1
Abades	sand	SC	A_S_SC_1	Bodotriidae	1
Abades	sand	SC	A_S_SC_1	Onuphidae	1
Abades	sand	SC	A_S_SC_1	Enchytraeidae	5
Abades	sand	SC	A_S_SC_1	Eunicidae	3
Abades	sand	SC	A_S_SC_1	Naididae	7
Abades	sand	SC	A_S_SC_1	Naticidae	1
Abades	sand	SC	A_S_SC_1	Solemyidae	2
Abades	sand	SC	A_S_SC_1	Tellinidae	2
Abades	sand	SC	A_S_SC_1	Nassariidae	1
Abades	sand	SC	A_S_SC_1	Pyramidellidae	1
Abades	sand	SC	A_S_SC_1	Rissoidae	1
Abades	sand	SC	A_S_SC_1	Eulimidae	4
